seed,train,test
seed_0,0.4154566425467023,0.4812620365497232
seed_1,0.41386245309598885,0.47628062130673676
seed_2,0.41465406227715984,0.4795471497345288
seed_3,0.4102236873256095,0.4787433480758225
seed_4,0.42308926285964726,0.4806725083167777
seed_5,0.41087300680105504,0.481523758360193
seed_6,0.4129770439612649,0.48628312360687487
seed_7,0.41688628890027873,0.47930363220249794
seed_8,0.41519440842086364,0.4707602456988818
seed_9,0.4171525220732744,0.48088384292190567
seed_10,0.40962465043820573,0.47701284266214655
seed_11,0.4129507025241225,0.47949560963534366
seed_12,0.40969517821240375,0.4772565432195049
seed_13,0.40827912002287087,0.48090671382605327
seed_14,0.41430658297606515,0.4789353117367369
seed_15,0.4166698155675393,0.4747908083358589
seed_16,0.410823373056532,0.4782385721546283
seed_17,0.42249173901917175,0.48138922571180587
seed_18,0.40919635529586296,0.4777018906401793
seed_19,0.415635731819838,0.48101838862444546
seed_20,0.4170373327345368,0.483561066532083
seed_21,0.41550168865714165,0.48000344010220136
seed_22,0.40794036886294527,0.48054860668178173
seed_23,0.42577426465365753,0.4761904286711813
seed_24,0.41781786466879445,0.47738447515533255
seed_25,0.40746252228433877,0.47969689971121937
seed_26,0.4195004688956791,0.48169742384902375
seed_27,0.4133692256738192,0.4808571567130935
seed_28,0.41447056619583406,0.4726195148175435
seed_29,0.42201174167983735,0.4827930242513651
seed_30,0.40745783554754833,0.4756619174405538
seed_31,0.41489856746374026,0.4789438646192511
seed_32,0.4215497761217741,0.48074361585659203
seed_33,0.4125689551748182,0.4767991864630313
seed_34,0.4165304535169192,0.4745345892832114
seed_35,0.4094673839586688,0.47883294174279256
seed_36,0.4103863585335272,0.479007359095895
seed_37,0.41658523241866446,0.4783018484168261
seed_38,0.4164949708565075,0.4823429993082497
seed_39,0.41799621577690826,0.4798264090858992
seed_40,0.41951619910811444,0.4772221708267824
seed_41,0.4233278301141453,0.4783498253263018
seed_42,0.40667670972097614,0.48267265281746313
seed_43,0.4218446277248056,0.48206566370569404
seed_44,0.4110843493903109,0.4798326186579108
seed_45,0.4162850058284059,0.48246988712651334
seed_46,0.41099858750058066,0.478272405591929
seed_47,0.4155537934677693,0.4828159009583703
seed_48,0.4215850527816627,0.4779479886123712
seed_49,0.41558759389563577,0.4791228207005037
seed_50,0.41980540734309485,0.4792262618604891
seed_51,0.4157997236125775,0.4783850418062897
seed_52,0.4095776838378739,0.47987494829250715
seed_53,0.4168401427135759,0.48316819742730577
seed_54,0.4129703776405335,0.47617946201331446
seed_55,0.4195455079445437,0.483276245656678
seed_56,0.419270901381511,0.4789236092143724
seed_57,0.41708501674791143,0.48018369535550537
seed_58,0.4190244435539552,0.4805954336989218
seed_59,0.41965919483449493,0.4799804099689256
seed_60,0.4164087295642161,0.4831943202883879
seed_61,0.4117508630057198,0.4779512943519355
seed_62,0.40721127794887413,0.4779371868952121
seed_63,0.41144496378788536,0.4784612883719313
seed_64,0.4124534959824105,0.4772151839809794
seed_65,0.41748576138292603,0.4796648223726372
seed_66,0.4124149457578211,0.4769475312190111
seed_67,0.42217716567923824,0.4772975999150981
seed_68,0.41131327820990615,0.47952259432978633
seed_69,0.4205253453519721,0.47423951133708425
seed_70,0.4220883993568612,0.4842159893926263
seed_71,0.4185320312466989,0.4830027051510936
seed_72,0.41755985873829016,0.4797557186502649
seed_73,0.4113197522019022,0.48568739076408546
seed_74,0.42320026422228507,0.47802816550777494
seed_75,0.4139744775585315,0.47969708316814447
seed_76,0.41853539557307545,0.48408776140373505
seed_77,0.41721850572996433,0.4788157290210297
seed_78,0.41396796093509414,0.479644969242161
seed_79,0.4101981605491576,0.4826550089261987
seed_80,0.4219462112785454,0.4821117756316965
seed_81,0.4126607096518035,0.48122522302439064
seed_82,0.41842979419069837,0.479066274240468
seed_83,0.4200391045947065,0.483390367973811
seed_84,0.41519728119115795,0.47710580826022286
seed_85,0.41201568225463087,0.4784122201571009
seed_86,0.4125271543781626,0.4831146939550415
seed_87,0.4150268052062005,0.48066171699956123
seed_88,0.4229939154012128,0.4809109994608253
seed_89,0.4111367327631351,0.4764360177969937
seed_90,0.41136064684879325,0.47744044599830016
seed_91,0.4176738558076308,0.48272734450091775
seed_92,0.4176175446485457,0.4782873071341138
seed_93,0.4171306501143043,0.4779725518382103
seed_94,0.4201966949936507,0.4761910850209938
seed_95,0.4153527838383368,0.48227811915437135
seed_96,0.417168443599831,0.48005282536737376
seed_97,0.41881631983910295,0.48194344301222103
