seed,coverage,sharpness
seed_0,0.9450096899224806,1.912908071611001
seed_1,0.9513081395348837,1.9780890501196136
seed_2,0.9493701550387597,1.948982899065808
seed_3,0.9491279069767442,1.972098517483755
seed_4,0.9503391472868217,2.0106286509879117
seed_5,0.9505813953488372,1.9805249112475156
seed_6,0.9508236434108527,2.021373278649211
seed_7,0.9450096899224806,1.9020712748436464
seed_8,0.9484011627906976,1.9381448233749907
seed_9,0.9513081395348837,1.998090543010497
seed_10,0.9484011627906976,1.9591115171153892
seed_11,0.9505813953488372,1.959411090829324
seed_12,0.9517926356589147,1.978888911239736
seed_13,0.9481589147286822,1.9679353930526602
seed_14,0.9467054263565892,1.9350554722062343
seed_15,0.9498546511627907,1.9458102177571988
seed_16,0.9530038759689923,2.0551104566714846
seed_17,0.9428294573643411,1.8924829060276611
seed_18,0.9481589147286822,1.9491443453627255
seed_19,0.9544573643410853,2.0672012575899705
seed_20,0.9493701550387597,1.9898729374541693
seed_21,0.9493701550387597,1.9813880684790768
seed_22,0.9464631782945736,1.9413911216498423
seed_23,0.9440406976744186,1.8807361239077558
seed_24,0.9479166666666666,1.9354000082142373
seed_25,0.9544573643410853,2.0699352977848453
seed_26,0.9452519379844961,1.9163218921277432
seed_27,0.9520348837209303,2.001209190376996
seed_28,0.9459786821705426,1.9149236062049164
seed_29,0.9481589147286822,1.9838431477260459
seed_30,0.9532461240310077,1.9916084850699833
seed_31,0.9484011627906976,1.9561088987135093
seed_32,0.9500968992248062,1.972260428364109
seed_33,0.9471899224806202,1.9626423179491652
seed_34,0.9440406976744186,1.8742746795745366
seed_35,0.9530038759689923,2.032274086552012
seed_36,0.9532461240310077,1.975470120066742
seed_37,0.9457364341085271,1.8558159685824576
seed_38,0.9476744186046512,1.9600506440746166
seed_39,0.9515503875968992,2.024209437559654
seed_40,0.9454941860465116,1.8828159841220684
seed_41,0.9433139534883721,1.889228786891394
seed_42,0.9498546511627907,1.9584296994609895
seed_43,0.9462209302325582,1.9656496797506438
seed_44,0.9534883720930233,2.0462869317716326
seed_45,0.9493701550387597,1.9561051260752595
seed_46,0.9546996124031008,2.0192244820260963
seed_47,0.9459786821705426,1.9405772833760069
seed_48,0.9428294573643411,1.8452517181477077
seed_49,0.9549418604651163,2.0682371657307073
seed_50,0.9481589147286822,1.9475500476506902
seed_51,0.9418604651162791,1.8476898787846319
seed_52,0.9515503875968992,1.9802666143865792
seed_53,0.9530038759689923,2.0427788629501826
seed_54,0.9515503875968992,1.9920206192943581
seed_55,0.9469476744186046,1.9721386951197744
seed_56,0.9464631782945736,1.9673940562492718
seed_57,0.9442829457364341,1.8868877699612552
seed_58,0.9491279069767442,1.9780631008651466
seed_59,0.9484011627906976,1.9595196099607108
seed_60,0.9488856589147286,1.9712798794962083
seed_61,0.9532461240310077,2.0124899399409517
seed_62,0.9546996124031008,2.019518226281913
seed_63,0.9534883720930233,2.0367154758347685
seed_64,0.9510658914728682,1.9822709669311251
seed_65,0.9471899224806202,1.9139097028004115
seed_66,0.9505813953488372,1.9545894472552374
seed_67,0.9447674418604651,1.8724578329432322
