seed,coverage,sharpness
seed_0,0.9438202247191011,214.54435686750767
seed_1,0.9662921348314607,222.48776108395478
seed_2,0.9438202247191011,209.74155614982243
seed_3,0.9775280898876404,226.3195984502725
seed_4,0.9438202247191011,192.4612188725653
seed_5,0.9775280898876404,233.38704178741003
seed_6,0.9662921348314607,220.95343785785687
seed_7,0.9438202247191011,206.45678773374635
seed_8,0.9887640449438202,218.69283558389358
seed_9,0.9775280898876404,230.38050407142526
seed_10,0.9775280898876404,233.25966289543803
seed_11,0.9325842696629213,205.4141947058115
seed_12,0.9775280898876404,235.77609228505446
seed_13,0.9775280898876404,215.85632316288323
seed_14,0.9887640449438202,233.71769528286592
seed_15,0.9550561797752809,205.34885353507494
seed_16,0.9887640449438202,260.27103062793185
seed_17,0.9887640449438202,250.85283668022197
seed_18,0.9325842696629213,189.35153196282144
seed_19,0.9775280898876404,239.8023027979426
seed_20,0.9662921348314607,231.02955416995843
seed_21,0.9325842696629213,189.99931563063728
seed_22,0.9775280898876404,255.28884518843643
seed_23,0.9662921348314607,229.7651104219048
seed_24,0.9775280898876404,226.10960648704142
seed_25,0.9775280898876404,237.3424275292047
seed_26,0.9775280898876404,235.31613060613398
seed_27,0.9550561797752809,231.36520445695245
seed_28,0.9101123595505618,193.65265131349258
seed_29,0.9325842696629213,191.8480613666372
seed_30,0.9325842696629213,198.78823558578546
seed_31,0.9887640449438202,219.99750789857976
seed_32,0.9325842696629213,205.91458513004585
seed_33,0.9662921348314607,216.12342870921003
seed_34,0.9775280898876404,224.73898668798913
seed_35,0.9438202247191011,199.96856900395085
seed_36,0.9550561797752809,225.08766467146754
seed_37,0.9775280898876404,227.93925408661383
seed_38,0.9438202247191011,206.87288254479296
seed_39,0.9550561797752809,220.66447696163868
seed_40,0.9438202247191011,220.98018611385825
seed_41,0.9438202247191011,221.01580690713337
seed_42,0.9213483146067416,189.69913670890125
seed_43,0.9887640449438202,242.3324686265128
seed_44,0.9438202247191011,195.0915079393989
seed_45,0.9775280898876404,248.29614298268115
seed_46,0.9662921348314607,229.18929465972963
seed_47,0.9550561797752809,235.1303474919079
seed_48,0.9438202247191011,212.26661362449755
seed_49,0.9550561797752809,215.1074156593731
seed_50,0.9887640449438202,222.70324520943632
seed_51,0.9887640449438202,219.5826997710181
seed_52,0.9438202247191011,202.23760962855772
seed_53,0.9775280898876404,238.36921739021952
seed_54,0.9662921348314607,197.28580585933585
seed_55,0.9550561797752809,216.37353209580394
seed_56,0.9662921348314607,213.04485559947915
seed_57,0.9662921348314607,235.31343483650303
seed_58,0.9662921348314607,235.16897700417667
