seed,train,test
seed_0,0.24756074859079374,0.47703263129008766
seed_1,0.24670734927508237,0.4708989957210059
seed_2,0.24171030895538007,0.4741048083733075
seed_3,0.24478200670039008,0.48066732104910814
seed_4,0.24660444540054424,0.4781089723761796
seed_5,0.2493006927146995,0.47702961749570194
seed_6,0.24371096273936554,0.47988863096611084
seed_7,0.25340604954819235,0.47946607187729123
seed_8,0.247237250738646,0.47983880182491245
seed_9,0.24904225804707758,0.47617637205366775
seed_10,0.24670149196206884,0.4764183014827575
seed_11,0.24330373427309807,0.4766723252166205
seed_12,0.24751085739972742,0.47563203101177776
seed_13,0.2504848539929315,0.4805441822233382
seed_14,0.24528427393845323,0.47022496675546954
seed_15,0.24877439597745152,0.4781537582086777
seed_16,0.24536704614084187,0.4847315665392561
seed_17,0.2503642508531377,0.4796206176350856
seed_18,0.24867234791289072,0.4796877945798395
seed_19,0.2450867878568756,0.4817156898244164
seed_20,0.2484762891012165,0.47398815278242823
seed_21,0.24428776733183025,0.47398721080236805
seed_22,0.24426176467388808,0.4789678468560003
seed_23,0.2480826060115613,0.4821424934757804
seed_24,0.24401384821525843,0.4770171013098961
seed_25,0.24767778802040158,0.48577688016123177
seed_26,0.24529342820015435,0.4836502476543399
seed_27,0.24502749304209387,0.47216906105862
seed_28,0.2505076928430949,0.47353937531866863
seed_29,0.2536616452984124,0.4848534501757586
seed_30,0.2502760766831575,0.47383579259294745
seed_31,0.24904515486692716,0.46710795569086244
seed_32,0.24536674991770788,0.4800401698949691
seed_33,0.24732525257566607,0.48491874604019103
seed_34,0.25009754164079473,0.4835252783462639
seed_35,0.2482321811796525,0.4758175619369234
seed_36,0.245289927356396,0.4729743137941812
seed_37,0.25011820236565646,0.48321770206935016
seed_38,0.243092823865187,0.4799497185019802
seed_39,0.2488329999552173,0.47572309894771564
seed_40,0.2478939889567522,0.4787018329821179
seed_41,0.24324625284116036,0.4747229281922091
seed_42,0.24768111823716768,0.4791504412831257
seed_43,0.24458606183936152,0.47674602375847375
seed_44,0.2465806225291445,0.4795272178590276
seed_45,0.2468303491074534,0.4717274290764778
seed_46,0.24649359845969795,0.4677538685445965
seed_47,0.2411154765131455,0.47666102793063053
seed_48,0.2510219881354105,0.4721994894119685
seed_49,0.2432318859000792,0.4784517649914553
seed_50,0.24785780917276595,0.47491941312768143
seed_51,0.24253421087519897,0.4749427374032995
seed_52,0.24640566538827616,0.47015331496458457
seed_53,0.2561139570932122,0.4753895236028355
seed_54,0.2485160701987786,0.483576548631432
seed_55,0.2468333305953243,0.4801269818986451
seed_56,0.25009683523668574,0.47383299439289583
seed_57,0.246682233806318,0.46569164723014417
seed_58,0.24953331427178874,0.4791773596529527
seed_59,0.2458851319286676,0.47397354771686206
seed_60,0.24990674867637144,0.4790782563776546
seed_61,0.2451678359132889,0.4762920814376041
seed_62,0.2365134006534302,0.48045121914932687
seed_63,0.2456818888674599,0.4698371083052088
seed_64,0.24216750768484654,0.47415054250678146
seed_65,0.24527152734413404,0.4709304824002885
seed_66,0.24814713326476562,0.4738650512399977
seed_67,0.24956007927953003,0.4727408457115971
seed_68,0.24683169391068216,0.4782122714026776
