seed,coverage,sharpness
seed_0,0.0,0.12746282030896114
seed_1,0.0,0.20103703979838156
seed_2,0.0,0.16459721708362132
seed_3,0.0,0.1122042682092827
seed_4,0.0,0.16792556824101434
seed_5,0.0,0.13563949102119274
seed_6,0.0,0.11217027058506993
seed_7,0.0,0.16045365192455707
seed_8,0.0,0.21244671731943754
seed_9,0.0,0.17681349400662583
seed_10,0.0,0.16732409298134152
seed_11,0.0,0.056151545987573714
seed_12,0.0,0.1392357165851324
seed_13,0.0,0.1932606094008528
seed_14,0.0,0.16024126313625414
seed_15,0.0,0.1250702642891647
seed_16,0.011235955056179775,0.289946984041823
seed_17,0.011235955056179775,0.1820840679429229
seed_18,0.0,0.17325604294451627
seed_19,0.0,0.09274578182981685
seed_20,0.0,0.1200968981276097
seed_21,0.0,0.1965226777868463
seed_22,0.0,0.14069989962723894
seed_23,0.0,0.09539175913607666
seed_24,0.0,0.12361155946752042
seed_25,0.0,0.08450730742839788
seed_26,0.0,0.11317936658002577
seed_27,0.0,0.17744777021089062
seed_28,0.0,0.09290071125257103
seed_29,0.0,0.1814838802124541
seed_30,0.0,0.10061641815958745
seed_31,0.0,0.09638742650615724
seed_32,0.0,0.13025560349761825
seed_33,0.0,0.14976277040227615
seed_34,0.0,0.21291250357550903
seed_35,0.0,0.1304438092130934
seed_36,0.0,0.07118869597417443
seed_37,0.0,0.1154214412710971
seed_38,0.0,0.09646819404457319
seed_39,0.0,0.19078189776275942
seed_40,0.0,0.1612758958878413
seed_41,0.0,0.06519813982208689
seed_42,0.0,0.17685755045135954
seed_43,0.0,0.08954387595126514
seed_44,0.0,0.15755990648297297
seed_45,0.0,0.12729165206838972
seed_46,0.0,0.18598388630748292
seed_47,0.0,0.17536889475589182
seed_48,0.0,0.08335758938527457
seed_49,0.0,0.10824040408419933
seed_50,0.0,0.189254354841637
seed_51,0.011235955056179775,0.21539161538470497
seed_52,0.0,0.07884941698960937
seed_53,0.011235955056179775,0.14188013210877007
seed_54,0.0,0.10901929261994604
seed_55,0.0,0.1757296304110787
seed_56,0.0,0.08746141346330237
seed_57,0.0,0.11093369725790549
seed_58,0.0,0.1191616311509133
seed_59,0.0,0.1416311269058931
seed_60,0.0,0.1185568932230587
seed_61,0.0,0.1525249922016322
seed_62,0.0,0.13470624480511473
seed_63,0.0,0.18454792650986288
seed_64,0.0,0.17771660578227966
seed_65,0.0,0.10176726236874066
seed_66,0.0,0.09725609968478402
seed_67,0.0,0.06981896596123441
seed_68,0.0,0.09579216587121536
seed_69,0.011235955056179775,0.12279094827090375
seed_70,0.0,0.21128933323809965
seed_71,0.0,0.14486260088018635
seed_72,0.011235955056179775,0.25983025459039494
seed_73,0.0,0.11127170010315995
seed_74,0.0,0.12166277775001644
seed_75,0.0,0.14657015997851286
seed_76,0.0,0.190607300602507
seed_77,0.0,0.1341660871015187
seed_78,0.0,0.14043598752420233
seed_79,0.011235955056179775,0.1444509890568906
seed_80,0.011235955056179775,0.07370902421519077
seed_81,0.0,0.12546378678699774
seed_82,0.011235955056179775,0.22979042659397822
seed_83,0.011235955056179775,0.14156112843203317
seed_84,0.0,0.14144704128484842
seed_85,0.0,0.08583748457148169
