coverage,sharpness,seed,alpha
0.9992732558139535,5.935819727381959,0,0.001
0.9878875968992248,3.4338987411773134,0,0.01
0.9450096899224806,1.912908071611001,0,0.05
0.9014050387596899,1.4609712087597146,0,0.1
0.8076550387596899,1.0012321554997254,0,0.2
0.998546511627907,5.70906345537766,1,0.001
0.9890988372093024,3.588556977930125,1,0.01
0.9513081395348837,1.9780890501196136,1,0.05
0.904312015503876,1.4460709792189526,1,0.1
0.8040213178294574,0.9642385427443096,1,0.2
0.999515503875969,6.235213672785806,2,0.001
0.9878875968992248,3.4285029358467796,2,0.01
0.9493701550387597,1.948982899065808,2,0.05
0.903343023255814,1.4498543633659025,2,0.1
0.8083817829457365,0.9863358158310074,2,0.2
0.9983042635658915,5.3998537459129246,3,0.001
0.9869186046511628,3.397144371539134,3,0.01
0.9491279069767442,1.972098517483755,3,0.05
0.9040697674418605,1.4627711384252469,3,0.1
0.8064437984496124,0.9843373729698257,3,0.2
0.998546511627907,5.5048259954684315,4,0.001
0.9883720930232558,3.3904826054543564,4,0.01
0.9503391472868217,2.0106286509879117,4,0.05
0.9001937984496124,1.4494202260149662,4,0.1
0.8066860465116279,0.9884615563784322,4,0.2
0.9987887596899225,5.7839250991724445,5,0.001
0.9881298449612403,3.4722496751895,5,0.01
0.9505813953488372,1.9805249112475156,5,0.05
0.9035852713178295,1.4478775391182441,5,0.1
0.8127422480620154,0.9887508835335588,5,0.2
0.9987887596899225,5.93053105514463,6,0.001
0.9854651162790697,3.3317743141653935,6,0.01
0.9508236434108527,2.021373278649211,6,0.05
0.8997093023255814,1.4552383823287616,6,0.1
0.814437984496124,1.017267226370942,6,0.2
0.999031007751938,5.862759314790182,7,0.001
0.9859496124031008,3.3045375427513375,7,0.01
0.9450096899224806,1.9020712748436464,7,0.05
0.9028585271317829,1.4496035369067966,7,0.1
0.8006298449612403,0.9753002267417732,7,0.2
0.998546511627907,5.210648402857784,8,0.001
0.9874031007751938,3.398037054097488,8,0.01
0.9484011627906976,1.9381448233749907,8,0.05
0.9014050387596899,1.4158508865335726,8,0.1
0.8091085271317829,0.9713579850967768,8,0.2
0.999031007751938,5.967355617604312,9,0.001
0.9861918604651163,3.330883157797305,9,0.01
0.9513081395348837,1.998090543010497,9,0.05
0.903827519379845,1.4843139590378926,9,0.1
0.8086240310077519,0.9965271649664756,9,0.2
0.999515503875969,6.203397962003924,10,0.001
0.9883720930232558,3.4567393296726507,10,0.01
0.9484011627906976,1.9591115171153892,10,0.05
0.8980135658914729,1.4181574128054664,10,0.1
0.8023255813953488,0.966373101248136,10,0.2
0.997093023255814,5.08507117053736,11,0.001
0.9881298449612403,3.374179730786111,11,0.01
0.9505813953488372,1.959411090829324,11,0.05
0.9023740310077519,1.4300459267865622,11,0.1
0.8122577519379846,0.9830431593355478,11,0.2
0.999515503875969,5.933980475345887,12,0.001
0.9874031007751938,3.4039855888708104,12,0.01
0.9517926356589147,1.978888911239736,12,0.05
0.8984980620155039,1.4126697119338765,12,0.1
0.8037790697674418,0.966360426430521,12,0.2
0.999515503875969,6.512811103625297,13,0.001
0.9907945736434108,3.6202921316595535,13,0.01
0.9481589147286822,1.9679353930526602,13,0.05
0.8997093023255814,1.4393225114078647,13,0.1
0.810077519379845,0.9732631624037152,13,0.2
0.9997577519379846,6.209741521896111,14,0.001
0.9900678294573644,3.6212149825497724,14,0.01
0.9467054263565892,1.9350554722062343,14,0.05
0.8968023255813954,1.404910263229611,14,0.1
0.8035368217054264,0.9702059342147932,14,0.2
0.999515503875969,6.17066085810839,15,0.001
0.9893410852713178,3.4714863625157495,15,0.01
0.9498546511627907,1.9458102177571988,15,0.05
0.904312015503876,1.449496353546734,15,0.1
0.8103197674418605,0.9773861549601013,15,0.2
0.999031007751938,6.092535056719077,16,0.001
0.9890988372093024,3.5459282668026475,16,0.01
0.9530038759689923,2.0551104566714846,16,0.05
0.9069767441860465,1.4652324117568363,16,0.1
0.8163759689922481,1.00925290202969,16,0.2
0.998546511627907,5.628748785238794,17,0.001
0.9878875968992248,3.3819228152661434,17,0.01
0.9428294573643411,1.8924829060276611,17,0.05
0.8963178294573644,1.404948989837141,17,0.1
0.7940891472868217,0.9373037650142986,17,0.2
0.999031007751938,5.802449689071279,18,0.001
0.9883720930232558,3.5083154269207215,18,0.01
0.9481589147286822,1.9491443453627255,18,0.05
0.903343023255814,1.451638201251281,18,0.1
0.8158914728682171,1.0161273362835248,18,0.2
0.9987887596899225,5.510377137927147,19,0.001
0.9898255813953488,3.6484265882295968,19,0.01
0.9544573643410853,2.0672012575899705,19,0.05
0.8970445736434108,1.4186953946836454,19,0.1
0.7999031007751938,0.95101243103678,19,0.2
0.999031007751938,5.845580011950367,20,0.001
0.9874031007751938,3.3819815808687896,20,0.01
0.9493701550387597,1.9898729374541693,20,0.05
0.8958333333333334,1.4384576381010015,20,0.1
0.8066860465116279,0.9881210658184507,20,0.2
0.999515503875969,6.923471983940772,21,0.001
0.9893410852713178,3.5905311257837633,21,0.01
0.9493701550387597,1.9813880684790768,21,0.05
0.9021317829457365,1.436669142046704,21,0.1
0.810077519379845,0.9760538181457347,21,0.2
0.999515503875969,6.579103923973482,22,0.001
0.9888565891472868,3.43642720577337,22,0.01
0.9464631782945736,1.9413911216498423,22,0.05
0.904796511627907,1.443277563449534,22,0.1
0.8088662790697675,0.9955799430925634,22,0.2
0.998546511627907,5.701141735770486,23,0.001
0.9864341085271318,3.3351987883491017,23,0.01
0.9440406976744186,1.8807361239077558,23,0.05
0.8951065891472868,1.3884338315553886,23,0.1
0.8066860465116279,0.9577779324582152,23,0.2
0.9997577519379846,6.540687646560296,24,0.001
0.9866763565891473,3.29365303047832,24,0.01
0.9479166666666666,1.9354000082142373,24,0.05
0.9016472868217055,1.4444893067381996,24,0.1
0.8045058139534884,0.9736877035104801,24,0.2
0.9997577519379846,6.49211785087823,25,0.001
0.9898255813953488,3.596349445523891,25,0.01
0.9544573643410853,2.0699352977848453,25,0.05
0.9064922480620154,1.4643764929636984,25,0.1
0.8015988372093024,0.9655405981264704,25,0.2
0.9987887596899225,5.800824196196283,26,0.001
0.9878875968992248,3.516856198912926,26,0.01
0.9452519379844961,1.9163218921277432,26,0.05
0.906734496124031,1.4575699650891114,26,0.1
0.8081395348837209,0.9821671737262234,26,0.2
0.9997577519379846,6.410570882767501,27,0.001
0.9878875968992248,3.571163495964059,27,0.01
0.9520348837209303,2.001209190376996,27,0.05
0.8970445736434108,1.4295130372099192,27,0.1
0.8015988372093024,0.9738341233805607,27,0.2
0.9987887596899225,5.595004036646661,28,0.001
0.9893410852713178,3.5288785593744922,28,0.01
0.9459786821705426,1.9149236062049164,28,0.05
0.8968023255813954,1.3963803887186401,28,0.1
0.8076550387596899,0.9737523828826333,28,0.2
0.9987887596899225,5.646882555398445,29,0.001
0.9871608527131783,3.471489552927722,29,0.01
0.9481589147286822,1.9838431477260459,29,0.05
0.8972868217054264,1.4198026937565658,29,0.1
0.7986918604651163,0.9489612720231141,29,0.2
0.999515503875969,6.250138833024755,30,0.001
0.9895833333333334,3.6815193840409797,30,0.01
0.9532461240310077,1.9916084850699833,30,0.05
0.907218992248062,1.4446602667066644,30,0.1
0.8091085271317829,0.965088825541634,30,0.2
0.9983042635658915,5.494360293474106,31,0.001
0.9890988372093024,3.4799276336369758,31,0.01
0.9484011627906976,1.9561088987135093,31,0.05
0.9028585271317829,1.437869954135434,31,0.1
0.8183139534883721,1.0009300683320534,31,0.2
0.999031007751938,5.913464780860448,32,0.001
0.9859496124031008,3.2025047638761803,32,0.01
0.9500968992248062,1.972260428364109,32,0.05
0.8977713178294574,1.4355693447601974,32,0.1
0.8011143410852714,0.9720189309703481,32,0.2
0.9987887596899225,5.466033835763193,33,0.001
0.9878875968992248,3.421137080405636,33,0.01
0.9471899224806202,1.9626423179491652,33,0.05
0.8953488372093024,1.4211043069027711,33,0.1
0.7984496124031008,0.9527830525191772,33,0.2
0.998062015503876,4.882222083490618,34,0.001
0.9871608527131783,3.350244316725651,34,0.01
0.9440406976744186,1.8742746795745366,34,0.05
0.8943798449612403,1.3980526441770849,34,0.1
0.8011143410852714,0.9564246547540964,34,0.2
0.999031007751938,5.853543523740708,35,0.001
0.9900678294573644,3.5845493476258374,35,0.01
0.9530038759689923,2.032274086552012,35,0.05
0.8977713178294574,1.4356412919559778,35,0.1
0.8076550387596899,0.9848970466979139,35,0.2
0.9987887596899225,5.602861781927647,36,0.001
0.9912790697674418,3.676721659703964,36,0.01
0.9532461240310077,1.975470120066742,36,0.05
0.8972868217054264,1.403205150254823,36,0.1
0.810562015503876,0.9790543413528418,36,0.2
0.9987887596899225,5.589951849736741,37,0.001
0.9864341085271318,3.2878523641263717,37,0.01
0.9457364341085271,1.8558159685824576,37,0.05
0.8968023255813954,1.4168260533678008,37,0.1
0.8098352713178295,0.9681191031954093,37,0.2
0.999515503875969,6.281277843912463,38,0.001
0.9878875968992248,3.4057971503645916,38,0.01
0.9476744186046512,1.9600506440746166,38,0.05
0.8987403100775194,1.4267071507782916,38,0.1
0.7945736434108527,0.9494891015241946,38,0.2
0.999031007751938,5.590776877090158,39,0.001
